filmId,title
449442.0,Bodies Bodies Bodies
45120.0,Mamma Mia!
51309.0,In the Mood for Love
432004.0,Sound of Metal
333203.0,The Irishman
46511.0,Iron Man 2
466291.0,"tick, tick...BOOM!"
51556.0,Die Hard
328538.0,The Florida Project
510047.0,Promising Young Woman
310705.0,The Favourite
51289.0,Toy Story 2
795897.0,No Hard Feelings
316311.0,mother!
148200.0,Kingsman: The Secret Service
51047.0,Pan's Labyrinth
201909.0,Moana
51405.0,Shaun of the Dead
129662.0,Big Hero 6
51669.0,Vertigo
106262.0,The Conjuring
87948.0,Frozen
16530.0,All Quiet on the Western Front
51932.0,Charlie and the Chocolate Factory
717654.0,The Killer
721288.0,The Fabelmans
49671.0,"Girl, Interrupted"
227784.0,Annihilation
51520.0,E.T. the Extra-Terrestrial
47048.0,The Exorcist
51600.0,One Flew Over the Cuckoo's Nest
261108.0,A Star Is Born
333310.0,The Killing of a Sacred Deer
51024.0,The Virgin Suicides
330912.0,Train to Busan
46460.0,How to Train Your Dragon
265438.0,Venom
51890.0,Ocean's Eleven
266676.0,Cruella
51407.0,The Sixth Sense
246013.0,The Big Short
228628.0,Toy Story 4
291610.0,"Three Billboards Outside Ebbing, Missouri"
51485.0,When Harry Met Sally...
40100.0,The Hangover
384058.0,Beautiful Boy
426131.0,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)
362362.0,Good Time
479814.0,Free Guy
49568.0,Corpse Bride
51521.0,Full Metal Jacket
484263.0,Guillermo del Toro's Pinocchio
706083.0,Wonka
51233.0,Cars
263221.0,Manchester by the Sea
49530.0,Beetlejuice
41360.0,Kiki's Delivery Service
515467.0,Palm Springs
45602.0,Chungking Express
51970.0,Before Sunset
51994.0,Heat
47586.0,Legally Blonde
51408.0,Top Gun
51770.0,Casablanca
438692.0,The Boy and the Heron
50950.0,School of Rock
465649.0,M3GAN
45489.0,Fallen Angels
261866.0,Ready Player One
2702.0,Citizen Kane
51684.0,La Haine
88488.0,Snowpiercer
45312.0,Memories of Murder
69151.0,Silver Linings Playbook
542449.0,Minari
39352.0,Zombieland
187975.0,Room
509662.0,Nomadland
96083.0,Frances Ha
710352.0,Poor Things
44594.0,Ponyo
44558.0,Grave of the Fireflies
51902.0,Akira
49210.0,Hot Fuzz
105188.0,The Lego Movie
47098.0,Kung Fu Panda
51552.0,Rear Window
370451.0,mid90s
715856.0,Beau Is Afraid
430806.0,I'm Thinking of Ending Things
488399.0,The Green Knight
31985.0,The Texas Chain Saw Massacre
16529.0,Gravity
668077.0,The Queen's Gambit
335384.0,Phantom Thread
291419.0,Ford v Ferrari
46911.0,Children of Men
193554.0,It Follows
50226.0,The Princess Bride
71927.0,Boyhood
182142.0,Carol
279.0,21 Jump Street
527841.0,The Power of the Dog
49075.0,The Curious Case of Benjamin Button
172537.0,What We Do in the Shadows
46001.0,Mulan
919121.0,Priscilla
51359.0,Blue Velvet
424003.0,Dungeons & Dragons: Honor Among Thieves
26779.0,Skyfall
44900.0,Suspiria
340202.0,Bird Box
104174.0,Jurassic World
589093.0,Shiva Baby
508246.0,Another Round
420703.0,Green Book
37598.0,The Cabin in the Woods
293066.0,Suspiria
503402.0,Mission: Impossible – Dead Reckoning Part One
45959.0,Elf
47914.0,Punch-Drunk Love
69154.0,Wreck-It Ralph
51218.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
49007.0,Boogie Nights
337567.0,Ocean's Eight
51838.0,The Terminator
358271.0,Sorry to Bother You
6166.0,Ghostbusters
359859.0,Roma
4586.0,Brave
51708.0,A Nightmare on Elm Street
721333.0,Cocaine Bear
878854.0,Elemental
51090.0,Rocky
51666.0,"The Good, the Bad and the Ugly"
50949.0,It's a Wonderful Life
27809.0,Casino Royale
99402.0,Finding Dory
639559.0,Spencer
51961.0,Indiana Jones and the Last Crusade
74348.0,Life of Pi
51347.0,Rosemary's Baby
754441.0,May December
51728.0,Magnolia
50177.0,Heathers
50159.0,The Blair Witch Project
51503.0,Grease
51989.0,Pirates of the Caribbean: Dead Man's Chest
420451.0,Eighth Grade
270106.0,Nocturnal Animals
51366.0,Almost Famous
51340.0,Aladdin
755564.0,The Holdovers
327974.0,Raw
1086.0,The Girl with the Dragon Tattoo
51469.0,"Paris, Texas"
379591.0,The Little Mermaid
4553.0,Monsters University
225060.0,Aquaman
44748.0,Alice in Wonderland
556553.0,Titane
283273.0,Mission: Impossible – Fallout
739775.0,Bo Burnham: Inside
50956.0,Raging Bull
679291.0,Drive My Car
51618.0,Being John Malkovich
51963.0,Indiana Jones and the Temple of Doom
51184.0,Eraserhead
50717.0,Marie Antoinette
51593.0,Casino
434482.0,Rocketman
508638.0,Venom: Let There Be Carnage
51514.0,Men in Black
47553.0,How the Grinch Stole Christmas
51380.0,Home Alone 2: Lost in New York
26476.0,Megamind
132034.0,Enemy
49268.0,The Darjeeling Limited
51716.0,Seven Samurai
45065.0,The Emperor's New Groove
47029.0,Dazed and Confused
868491.0,Air
51388.0,The Evil Dead
39067.0,Despicable Me
570193.0,House of Gucci
51280.0,Singin' in the Rain
265433.0,Indiana Jones and the Dial of Destiny
241430.0,Spotlight
558054.0,Old
51355.0,Persona
169728.0,The Babadook
38800.0,But I'm a Cheerleader
51614.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
51228.0,Do the Right Thing
92160.0,Paddington
49023.0,Paprika
322110.0,Okja
629320.0,Decision to Leave
45204.0,Lilo & Stitch
47809.0,In Bruges
51670.0,Ice Age
441471.0,West Side Story
436873.0,Climax
546348.0,Malignant
251937.0,The Lego Batman Movie
52512.0,The Master
102444.0,Before Midnight
822093.0,Anatomy of a Fall
686389.0,Prey
49454.0,Scream 2
524592.0,Nightmare Alley
6286.0,Moneyball
485212.0,Emma.
51674.0,The Life Aquatic with Steve Zissou
51062.0,Stalker
51868.0,Jackie Brown
695473.0,CODA
574385.0,The Unbearable Weight of Massive Talent
190077.0,The Theory of Everything
47198.0,Zoolander
51207.0,Madagascar
84051.0,The Hunt
527671.0,The Father
361725.0,A Ghost Story
45203.0,Rushmore
258127.0,Frozen II
46280.0,The Iron Giant
781326.0,Marcel the Shell with Shoes On
51206.0,Mission: Impossible
27183.0,The Graduate
493697.0,The Farewell
591931.0,Infinity Pool
50941.0,Night at the Museum
51365.0,Mr. & Mrs. Smith
277023.0,Paddington 2
45855.0,Matilda
44613.0,Slumdog Millionaire
239260.0,Creed
51323.0,Chinatown
674137.0,Napoleon
277413.0,Swiss Army Man
438272.0,Onward
92619.0,The Secret Life of Walter Mitty
73367.0,Inside Llewyn Davis
551275.0,The Matrix Resurrections
558056.0,Knock at the Cabin
20307.0,Rango
488575.0,El Camino: A Breaking Bad Movie
46794.0,The Parent Trap
47778.0,Cast Away
51773.0,Pirates of the Caribbean: At World's End
51679.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
353485.0,Ad Astra
48883.0,The Polar Express
35925.0,House
57622.0,We Need to Talk About Kevin
371005.0,Minions: The Rise of Gru
333825.0,Godzilla vs. Kong
51647.0,Romeo + Juliet
51517.0,The Matrix Reloaded
45493.0,Cinema Paradiso
51533.0,Big Fish
40480.0,The Twilight Saga: New Moon
511342.0,Judas and the Black Messiah
80198.0,Under the Skin
57376.0,Ted
378048.0,Game Night
51195.0,Dog Day Afternoon
51494.0,The Wizard of Oz
427852.0,Enola Holmes
50168.0,The Game
47171.0,The Fly
47111.0,A Bug's Life
452289.0,The Gentlemen
46505.0,The Little Mermaid
46453.0,The Princess and the Frog
485519.0,The Trial of the Chicago 7
307298.0,The Disaster Artist
845706.0,Godzilla Minus One
48296.0,I Am Legend
47867.0,Napoleon Dynamite
397942.0,To All the Boys I've Loved Before
381340.0,"Love, Simon"
508037.0,RRR
50992.0,Thelma & Louise
422035.0,Burning
87873.0,This Is the End
51387.0,Evil Dead II
47577.0,Jumanji
51620.0,The Seventh Seal
4549.0,Melancholia
47468.0,The Tree of Life
49039.0,"Synecdoche, New York"
51226.0,Gremlins
51339.0,Airplane!
49811.0,Barry Lyndon
4948.0,Rise of the Planet of the Apes
281529.0,Jurassic World: Fallen Kingdom
46964.0,Scooby-Doo
51794.0,The King of Comedy
332432.0,The House That Jack Built
390264.0,Mamma Mia! Here We Go Again
437050.0,Jurassic World Dominion
379626.0,Pokémon Detective Pikachu
51804.0,Willy Wonka & the Chocolate Factory
50846.0,Misery
135120.0,22 Jump Street
48030.0,Tropic Thunder
49054.0,Burn After Reading
52508.0,Pacific Rim
369179.0,Black Adam
51342.0,Shrek the Third
106267.0,We're the Millers
10442.0,Bridesmaids
561763.0,Pig
51554.0,The Mummy
829364.0,The Wonderful Story of Henry Sugar
51522.0,Sunset Boulevard
48160.0,The 40 Year Old Virgin
50621.0,Death Proof
662656.0,Borat Subsequent Moviefilm
69149.0,Les Misérables
69142.0,How to Train Your Dragon 2
51839.0,Indiana Jones and the Kingdom of the Crystal Skull
390610.0,First Reformed
129816.0,Mission: Impossible – Rogue Nation
263215.0,Captain Fantastic
435129.0,Shoplifters
51315.0,Videodrome
354539.0,The Lion King
112957.0,The Wind Rises
25809.0,Dogtooth
45537.0,Mysterious Skin
51917.0,"O Brother, Where Art Thou?"
6599.0,Looper
40860.0,District 9
15620.0,The Help
544380.0,The Last Duel
46331.0,Freaky Friday
37088.0,The Twilight Saga: Eclipse
188421.0,Mommy
157543.0,The Fault in Our Stars
42580.0,The Sound of Music
9788.0,Mission: Impossible – Ghost Protocol
20374.0,Hugo
241052.0,Green Room
50725.0,Fear and Loathing in Las Vegas
49846.0,Gangs of New York
51490.0,Bridget Jones's Diary
94394.0,Dawn of the Planet of the Apes
699298.0,Men
50995.0,Collateral
83424.0,Maleficent
51549.0,The Birds
45842.0,After Hours
338883.0,Ralph Breaks the Internet
620781.0,Normal People
641574.0,Lightyear
392654.0,Mandy
16560.0,Cars 2
332437.0,You Were Never Really Here
42531.0,Clue
40479.0,The Proposal
51516.0,The Matrix Revolutions
307239.0,Hunt for the Wilderpeople
48454.0,Bram Stoker's Dracula
47270.0,Ghost in the Shell
15076.0,The Twilight Saga: Breaking Dawn – Part 2
51774.0,The Apartment
228482.0,The Neon Demon
467061.0,The Ballad of Buster Scruggs
37696.0,Cloudy with a Chance of Meatballs
45747.0,High School Musical
117583.0,Divergent
51673.0,8½
305811.0,First Man
48791.0,Bee Movie
558806.0,C'mon C'mon
15077.0,The Twilight Saga: Breaking Dawn – Part 1
50112.0,Adaptation.
49280.0,Enchanted
272503.0,20th Century Women
764890.0,The Iron Claw
47438.0,Hellraiser
50653.0,The Elephant Man
444799.0,Yesterday
483008.0,The Lost Daughter
330810.0,Under the Silver Lake
51486.0,Lost Highway
60299.0,Lawrence of Arabia
2684.0,The Simpsons Movie
45130.0,Porco Rosso
29041.0,Enter the Void
305363.0,Sing Street
51423.0,Annie Hall
51068.0,Y Tu Mamá También
386608.0,Sonic the Hedgehog
696310.0,Women Talking
47295.0,Monster House
51984.0,8 Mile
812015.0,Close
43015.0,Harakiri
51194.0,Paths of Glory
3519.0,The Skin I Live In
27285.0,Tarzan
736318.0,Crimes of the Future
96109.0,Spring Breakers
519052.0,The Tragedy of Macbeth
48033.0,Chicken Run
98336.0,Godzilla
46330.0,Night of the Living Dead
48797.0,RoboCop
16555.0,Submarine
51296.0,Who Framed Roger Rabbit
541425.0,Mank
51843.0,North by Northwest
77748.0,Despicable Me 2
46418.0,Funny Games
144110.0,Crimson Peak
343911.0,Over the Garden Wall
198992.0,Passengers
50735.0,Pirates of the Caribbean: On Stranger Tides
125830.0,Inherent Vice
541998.0,King Richard
41012.0,Moon
50207.0,The Aviator
51787.0,Breathless
579023.0,Spree
